,key_names,key_codes,key_time
0,s,31,1623941454.9026716
1,d,32,1623941454.929159
2,f,33,1623941455.056654
3,s,31,1623941455.0831764
4,d,32,1623941455.1529298
5,s,31,1623941455.18357
6,f,33,1623941455.2311723
7,f,33,1623941455.3533795
8,s,31,1623941455.5075457
9,f,33,1623941455.5379558
10,d,32,1623941455.5528498
11,d,32,1623941455.6652787
12,g,34,1623941455.6909988
13,g,34,1623941455.8015783
14,e,18,1623941455.9705546
15,e,18,1623941456.2368073
16,s,31,1623941456.5585883
17,d,32,1623941456.7590194
18,s,31,1623941456.783564
19,d,32,1623941457.0897815
20,c,46,1623941457.1515596
21,c,46,1623941457.3547444
22,j,36,1623941461.8144376
23,j,36,1623941462.0114636
24,u,22,1623941462.1841898
25,u,22,1623941462.2864325
26,esc,1,1623941465.7372017
